id,year,country,city,category,firstname,surname,gender
51,1946,USA,"Cambridge, MA",physics,Percy Williams,Bridgman,male
52,1947,GBR,London,physics,Sir Edward Victor,Appleton,male
53,1948,GBR,Manchester,physics,Patrick Maynard Stuart,Blackett,male
54,1949,JPN,Kyoto,physics,Hideki,Yukawa,male
55,1950,GBR,Bristol,physics,Cecil Frank,Powell,male
56,1951,GBR,"Harwell, Berkshire",physics,Sir John Douglas,Cockcroft,male
57,1951,IRL,Dublin,physics,Ernest Thomas Sinton,Walton,male
58,1952,USA,"Stanford, CA",physics,Felix,Bloch,male
59,1952,USA,"Cambridge, MA",physics,Edward Mills,Purcell,male
60,1953,,Groningen,physics,Frits,Zernike,male
61,1954,GBR,Edinburgh,physics,Max,Born,male
62,1954,,Heidelberg,physics,Walther,Bothe,male
63,1955,USA,"Stanford, CA",physics,Willis Eugene,Lamb,male
64,1955,USA,"New York, NY",physics,Polykarp,Kusch,male
65,1956,USA,"Mountain View, CA",physics,William Bradford,Shockley,male
66,1956,USA,"Urbana, IL",physics,John,Bardeen,male
67,1972,USA,"Urbana, IL",physics,John,Bardeen,male
68,1956,USA,"Murray Hill, NJ",physics,Walter Houser,Brattain,male
69,1957,USA,"Princeton, NJ",physics,Chen Ning,Yang,male
70,1957,USA,"New York, NY",physics,Tsung-Dao (T.D.),Lee,male
71,1958,,Moscow,physics,Pavel Alekseyevich,Cherenkov,male
72,1958,,Moscow,physics,Igor Yevgenyevich,Tamm,male
73,1959,USA,"Berkeley, CA",physics,Emilio Gino,Segrè,male
74,1959,USA,"Berkeley, CA",physics,Owen,Chamberlain,male
75,1960,USA,"Berkeley, CA",physics,Donald Arthur,Glaser,male
76,1961,USA,"Stanford, CA",physics,Robert,Hofstadter,male
77,1961,,Munich,physics,Rudolf Ludwig,Mössbauer,male
78,1962,,Moscow,physics,Lev Davidovich,Landau,male
79,1963,USA,"Princeton, NJ",physics,Eugene Paul,Wigner,male
80,1963,USA,"San Diego, CA",physics,Maria,Goeppert Mayer,female
81,1963,,Heidelberg,physics,J. Hans D.,Jensen,male
82,1964,USA,"Cambridge, MA",physics,Charles Hard,Townes,male
83,1964,,Moscow,physics,Nicolay Gennadiyevich,Basov,male
84,1964,,Moscow,physics,Aleksandr Mikhailovich,Prokhorov,male
85,1965,JPN,Tokyo,physics,Sin-Itiro,Tomonaga,male
86,1965,USA,"Cambridge, MA",physics,Julian,Schwinger,male
87,1965,USA,"Pasadena, CA",physics,Richard P.,Feynman,male
88,1966,FRA,Paris,physics,Alfred,Kastler,male
